Time,Open,High,Low,Close,Volume
07/28/2021 05:50:00,40107.07,40107.07,40053.17,40073.95,2044020
07/28/2021 05:51:00,40076.96,40080.01,40040.16,40056.27,1436945.8
07/28/2021 05:52:00,40056.27,40056.27,40002.24,40039.36,1780572.4
07/28/2021 05:53:00,40039.37,40067.86,40016.73,40050.61,1463397
07/28/2021 05:54:00,40050.61,40100,40047.64,40070.07,1503882.9
07/28/2021 05:55:00,40070.07,40099.69,40067.92,40099.39,1082944.8
07/28/2021 05:56:00,40092.93,40092.93,40030.45,40039.97,1345109.2
07/28/2021 05:57:00,40039.98,40064.14,40018.57,40062.14,1301557
07/28/2021 05:58:00,40062.14,40137.63,40043.57,40107.93,1801750
07/28/2021 05:59:00,40109.1,40153.58,40109.09,40127.38,1982618.5
07/28/2021 06:00:00,40127.39,40127.39,40041.03,40041.04,1530529.8
07/28/2021 06:01:00,40041.04,40113,40041.03,40112.99,904812.7
07/28/2021 06:02:00,40113,40179.8,40100.01,40117.88,3554445.8
07/28/2021 06:03:00,40117.88,40178.74,40117.88,40142.52,1806694.1
07/28/2021 06:04:00,40142.52,40159.99,40089.89,40101.63,1550461.4
07/28/2021 06:05:00,40098.98,40106.68,40060.67,40087.03,1354474.5
07/28/2021 06:06:00,40089.56,40095,40066,40068.08,967380.7
07/28/2021 06:07:00,40068.07,40088.04,40060.07,40067.96,1352556.6
07/28/2021 06:08:00,40067.97,40068.27,40019.27,40030.6,2012192.9
07/28/2021 06:09:00,40030.59,40076.72,40007.99,40061.87,2298075.2
07/28/2021 06:10:00,40061.88,40067.8,40019.3,40026.26,1403755
07/28/2021 06:11:00,40026.87,40035.54,39983.71,40021.51,2928174
07/28/2021 06:12:00,40021.51,40042.99,39973.83,39974.01,2543432
07/28/2021 06:13:00,39977.95,40007.44,39950,40001.32,1945093.2
07/28/2021 06:14:00,40001.32,40018.74,39983.36,39983.36,4466076.5
07/28/2021 06:15:00,39983.36,40042.45,39983.36,40034.45,2075519.8
07/28/2021 06:16:00,40034.45,40050,39990,39992.76,1363687.8
07/28/2021 06:17:00,39992.77,39993.94,39905,39922.86,2509532.5
07/28/2021 06:18:00,39923.99,39961.89,39806.71,39897.84,13197132
07/28/2021 06:19:00,39896.39,39903.52,39734.99,39801.99,9397072
07/28/2021 06:20:00,39801.99,39828.94,39771.19,39817.97,2572962.2
07/28/2021 06:21:00,39817.97,39863.69,39800.01,39806.73,1263376.5
07/28/2021 06:22:00,39808.01,39849.48,39808.01,39839.78,832575.5
07/28/2021 06:23:00,39839.78,39857.17,39830.67,39840,1081059
07/28/2021 06:24:00,39839.99,39840,39729.84,39744.78,3111802.5
07/28/2021 06:25:00,39739.74,39806.92,39739.73,39796.53,1047820.7
07/28/2021 06:26:00,39796.54,39800,39768.29,39793.41,818815.25
07/28/2021 06:27:00,39793.41,39798.11,39764,39793.91,1266435.8
07/28/2021 06:28:00,39793.9,39797.86,39786.23,39793.8,1069668.9
07/28/2021 06:29:00,39793.79,39814.53,39722,39735.77,2703615
07/28/2021 06:30:00,39735.77,39800,39723.91,39799.99,2801128
07/28/2021 06:31:00,39800,39834.34,39798.12,39805.87,2052984.9
07/28/2021 06:32:00,39805.86,39840,39802.77,39830.08,1487640.1
07/28/2021 06:33:00,39830.08,39849.92,39821.34,39826.9,1050657.8
07/28/2021 06:34:00,39826.9,39826.91,39791.99,39826.86,1665717.2
07/28/2021 06:35:00,39826.86,39826.87,39799,39822.44,1196041
07/28/2021 06:36:00,39822.44,39870.4,39819.11,39851.73,1332602
07/28/2021 06:37:00,39851.73,39863.41,39850,39861.38,1150519.4
07/28/2021 06:38:00,39861.38,39862.06,39808.88,39812.19,1055433.8
07/28/2021 06:39:00,39812.19,39840.29,39809.54,39817.39,1339315.4
07/28/2021 06:40:00,39817.27,39824.14,39660.39,39695.64,3895004.8
07/28/2021 06:41:00,39695.82,39711.52,39561,39647.71,6422143
07/28/2021 06:42:00,39647.72,39690.7,39560,39582.25,3574069.2
07/28/2021 06:43:00,39583.6,39588.78,39226.76,39314.63,18114560
07/28/2021 06:44:00,39314.62,39420.98,39294,39316.98,9084762
07/28/2021 06:45:00,39316.97,39425,39303.48,39375,3401759.2
07/28/2021 06:46:00,39374.99,39439.47,39356.18,39431.58,2490607.5
07/28/2021 06:47:00,39425.99,39474.81,39393.65,39472.46,1727927.4
07/28/2021 06:48:00,39472.44,39549.99,39443.44,39521.28,2840956.8
07/28/2021 06:49:00,39521.28,39538.63,39464.9,39504.67,2500633.5
07/28/2021 06:50:00,39503.22,39533.25,39483.05,39520.43,1656815.6
07/28/2021 06:51:00,39521.18,39521.18,39410.92,39488.71,3361345.5
07/28/2021 06:52:00,39488.72,39544,39488.72,39543.99,2283534
07/28/2021 06:53:00,39544,39548.83,39500.19,39511,1346861.2
07/28/2021 06:54:00,39510.99,39511,39470.27,39491.37,1180724.2
07/28/2021 06:55:00,39491.37,39519.99,39440.29,39450.2,1508421.8
